,n_meas,sample,acc_prob,acc_pl
164,56,2,0.0022708788275989916,0.0018517109021023287
165,56,3,0.00267239654880026,0.0026604691455611694
166,56,4,0.0018412515140647922,0.0019295956184603557
167,56,5,0.0015919636337730716,0.001554560188653398
168,58,0,0.0016427165752587165,0.0017134772404385843
169,58,1,0.001710871806590004,0.0018289997524959785
170,58,2,0.0018751640070323022,0.0018979009136446232
171,58,3,0.0020601388033867694,0.002132958856920119
172,58,4,0.0015094227124360737,0.0017437013383374599
173,58,5,0.0028320561362563078,0.002070083883646571
174,60,0,0.0021640257576270175,0.0020435305471604185
175,60,1,0.0018631471830623102,0.002107658024273944
176,60,2,0.0022605917949029965,0.002332698296233974
177,60,3,0.002055976177151097,0.0018976513132536634
178,60,4,0.0029070609023465815,0.002814426583823386
179,60,5,0.0017677090264629255,0.001779016701802723
180,62,0,0.0033561287496498412,0.00343758483978209
181,62,1,0.002196468107664531,0.0018979326047340464
182,62,2,0.0015252909218887423,0.0019530705236987754
183,62,3,0.0014868437731925849,0.0014842701624249487
184,62,4,0.002223751402854912,0.002300150433956137
185,62,5,0.001412654446516122,0.0014028828980520527
186,64,0,0.0011942154334704052,0.0009083953061369811
187,64,1,0.0013359064954565744,0.0016437409173757547
188,64,2,0.0018191364964532705,0.0016141514807821648
189,64,3,0.001498777962502799,0.0013449234114706991
190,64,4,0.0011842875431038367,0.0012342108993039231
191,64,5,0.0010883319025431673,0.0011056426707938337
