,prop,lambda,theta,sample,sample_avg,acc_mhs
220,normal_dep,3000.0,0.01,0,0.07775564854669749,0.09013902949219647
221,normal_dep,3000.0,0.01,1,0.07775564854669749,0.048597599963899146
222,normal_dep,3000.0,0.01,2,0.07775564854669749,0.0863503024777235
223,normal_dep,3000.0,0.01,3,0.07775564854669749,0.06513293015709098
224,normal_dep,3000.0,0.01,4,0.07775564854669749,0.09855838064257731
225,normal_dep,3000.0,0.1,0,0.06951829938251455,0.04921052799499185
226,normal_dep,3000.0,0.1,1,0.06951829938251455,0.08299633242368479
227,normal_dep,3000.0,0.1,2,0.06951829938251455,0.09397557188586797
228,normal_dep,3000.0,0.1,3,0.06951829938251455,0.050522234776702805
229,normal_dep,3000.0,0.1,4,0.06951829938251455,0.07088682983132537
230,normal_dep,3000.0,1.0,0,0.07387583324168129,0.04841414124995582
231,normal_dep,3000.0,1.0,1,0.07387583324168129,0.06293292518850623
232,normal_dep,3000.0,1.0,2,0.07387583324168129,0.09257164008560055
233,normal_dep,3000.0,1.0,3,0.07387583324168129,0.08872463345505867
234,normal_dep,3000.0,1.0,4,0.07387583324168129,0.07673582622928522
235,normal_dep,3000.0,10.0,0,0.09306645847524753,0.09358683168328141
236,normal_dep,3000.0,10.0,1,0.09306645847524753,0.07805681533494722
237,normal_dep,3000.0,10.0,2,0.09306645847524753,0.15448077281412625
238,normal_dep,3000.0,10.0,3,0.09306645847524753,0.06673824782132269
239,normal_dep,3000.0,10.0,4,0.09306645847524753,0.07246962472256005
240,normal_dep,4000.0,1e-06,0,0.4535687307019273,0.4048091342281999
241,normal_dep,4000.0,1e-06,1,0.4535687307019273,0.41728168926926584
242,normal_dep,4000.0,1e-06,2,0.4535687307019273,0.49308932248589904
243,normal_dep,4000.0,1e-06,3,0.4535687307019273,0.531796820183233
244,normal_dep,4000.0,1e-06,4,0.4535687307019273,0.42086668734303906
245,normal_dep,4000.0,1e-05,0,0.395029745844229,0.3716472725362697
246,normal_dep,4000.0,1e-05,1,0.395029745844229,0.27877800075874604
247,normal_dep,4000.0,1e-05,2,0.395029745844229,0.4340584394914741
248,normal_dep,4000.0,1e-05,3,0.395029745844229,0.3328180916691282
249,normal_dep,4000.0,1e-05,4,0.395029745844229,0.5578469247655271
250,normal_dep,4000.0,0.0001,0,0.22051430632629182,0.2164361233263434
251,normal_dep,4000.0,0.0001,1,0.22051430632629182,0.2271625597809964
252,normal_dep,4000.0,0.0001,2,0.22051430632629182,0.21192790370984982
253,normal_dep,4000.0,0.0001,3,0.22051430632629182,0.21163390147945396
254,normal_dep,4000.0,0.0001,4,0.22051430632629182,0.23541104333481547
255,normal_dep,4000.0,0.001,0,0.11470604960080064,0.1146391569986812
256,normal_dep,4000.0,0.001,1,0.11470604960080064,0.10650092693177911
257,normal_dep,4000.0,0.001,2,0.11470604960080064,0.07970227647075999
258,normal_dep,4000.0,0.001,3,0.11470604960080064,0.146507462159125
259,normal_dep,4000.0,0.001,4,0.11470604960080064,0.1261804254436579
260,normal_dep,4000.0,0.01,0,0.08309326134959504,0.10502537779805626
261,normal_dep,4000.0,0.01,1,0.08309326134959504,0.05117367278886833
262,normal_dep,4000.0,0.01,2,0.08309326134959504,0.10036272116850027
263,normal_dep,4000.0,0.01,3,0.08309326134959504,0.09671394857041452
264,normal_dep,4000.0,0.01,4,0.08309326134959504,0.06219058642213575
265,normal_dep,4000.0,0.1,0,0.06126676913175451,0.026421597644496617
266,normal_dep,4000.0,0.1,1,0.06126676913175451,0.061950091287620926
267,normal_dep,4000.0,0.1,2,0.06126676913175451,0.05906859886835846
268,normal_dep,4000.0,0.1,3,0.06126676913175451,0.09949519628577193
269,normal_dep,4000.0,0.1,4,0.06126676913175451,0.05939836157252462
270,normal_dep,4000.0,1.0,0,0.07658434411805712,0.08555778775891719
271,normal_dep,4000.0,1.0,1,0.07658434411805712,0.07851110171195769
272,normal_dep,4000.0,1.0,2,0.07658434411805712,0.08832417998659596
273,normal_dep,4000.0,1.0,3,0.07658434411805712,0.06386375752102955
274,normal_dep,4000.0,1.0,4,0.07658434411805712,0.06666489361178518
