,theta,d,samples,acc_prob,acc_pl
179,0.01,2,9,0.0015508739755713972,0.002330768642222394
180,0.01,3,0,0.003790859533610491,0.0011406552956224835
181,0.01,3,1,0.0019748738535387356,0.0015498212597584197
182,0.01,3,2,0.0017311162383084786,0.002962965120581418
183,0.01,3,3,0.0024030494214900356,0.001215457082178635
184,0.01,3,4,0.0020533077400914515,0.001589124649209398
185,0.01,3,5,0.0021092571621815913,0.0022447947911393867
186,0.01,3,6,0.002456116756779829,0.0016191685545930367
187,0.01,3,7,0.002548544159533993,0.0015536213281263204
188,0.01,3,8,0.002136775621387052,0.0016981283178338273
189,0.01,3,9,0.0027715811724343753,0.00589744378459442
190,0.01,4,0,0.0011668395224534922,0.0015151709553963505
191,0.01,4,1,0.0013240102712848045,0.00513802679793959
192,0.01,4,2,0.0018135980681911175,0.0026731277390651884
193,0.01,4,3,0.0018401046130050872,0.002511875327982281
194,0.01,4,4,0.002917070104548136,0.0013260364442544185
195,0.01,4,5,0.0024037478346425594,0.002808834450255541
196,0.01,4,6,0.0015754941009925615,0.0023403096211789577
197,0.01,4,7,0.002025750396113663,0.0019742838933433527
198,0.01,4,8,0.002591484810981555,0.001005918805753025
199,0.01,4,9,0.0026824117533733277,0.004753001639124682
200,0.01,5,0,0.0038543656409292673,0.0025920038005123455
201,0.01,5,1,0.0029222902233347688,0.0006282788240938263
202,0.01,5,2,0.0020449807418985518,0.0009447379854268235
203,0.01,5,3,0.0016166711096890676,0.005497881742760862
204,0.01,5,4,0.0019594281645569102,0.0033530617713523007
205,0.01,5,5,0.0009402770363113114,0.0027299030029923213
206,0.01,5,6,0.0012537361598884238,0.002791809009067707
207,0.01,5,7,0.0040886055596262745,0.004685289036365631
208,0.01,5,8,0.002706400458845055,0.038716640266982585
209,0.01,5,9,0.003814972992145044,0.013724850454369329
210,0.01,6,0,0.0025774466196024624,0.0023878096761963665
211,0.01,6,1,0.002442957220795282,0.0014238697341792945
212,0.01,6,2,0.0022197255833304582,0.0021453327489512433
213,0.01,6,3,0.001338356839593174,0.003027882074278429
214,0.01,6,4,0.0019143410672422087,0.0016788011833832638
215,0.01,6,5,0.0014994974176105048,0.0029840730444922743
216,0.01,6,6,0.002046732866673466,0.00493922011166275
217,0.01,6,7,0.001983288146485884,0.0020213499809730528
218,0.01,6,8,0.0026185077320813608,0.003474747504024649
219,0.01,6,9,0.00305859017209975,0.005477031750522962
220,0.01,7,0,0.0024200125644996536,0.0018653380862250085
221,0.01,7,1,0.0022201104755577234,0.004730300857942319
222,0.01,7,2,0.0017579295181490914,0.003945517811092646
223,0.01,7,3,0.002294777665470807,0.006751523232073623
224,0.01,7,4,0.002376953419260543,0.012664944502458954
225,0.01,7,5,0.0013600639931553255,0.0029085868742228013
226,0.01,7,6,0.0026223033713799787,0.002653886832241756
227,0.01,7,7,0.0030032487270816297,0.0017630433476036828
228,0.01,7,8,0.0020603156798604267,0.16107864177874892
229,0.01,7,9,0.00339373506043375,0.005331310903167578
230,0.01,8,0,0.003640134855987348,0.0038411148731854142
231,0.01,8,1,0.0019913565505861193,0.003228764461216464
232,0.01,8,2,0.0017898420951330434,0.0017525264945711205
233,0.01,8,3,0.0017100016665163502,0.0017556183597461877
234,0.01,8,4,0.002663147638037803,0.0015482230415151445
235,0.01,8,5,0.002117073472113846,0.004247618500300604
236,0.01,8,6,0.0024648177380239855,0.002956699050513528
237,0.01,8,7,0.002096723854944895,0.004360220858127029
238,0.01,8,8,0.0013581514533012031,0.007736441465678724
239,0.01,8,9,0.0034254893443617157,0.002773502128790021
240,0.1,1,0,0.0008827267116716342,0.0006633211414697123
241,0.1,1,1,0.0008240709117283124,0.0008093402380224119
242,0.1,1,2,0.0009593273068882449,0.0007740737723523056
243,0.1,1,3,0.0007721311062151551,0.0003816935092646717
244,0.1,1,4,0.0015385699562915933,0.001006065461528598
245,0.1,1,5,0.0014664200070427008,0.0017094061711718915
246,0.1,1,6,0.0010417653867478085,0.0011078539223753905
247,0.1,1,7,0.0008132775380282041,0.0010454608980856768
248,0.1,1,8,0.0019377852126716373,0.0006597880430509793
249,0.1,1,9,0.00112898137755925,0.0004833105180924476
250,0.1,2,0,0.0015930884156382403,0.0014210476163087095
251,0.1,2,1,0.0003416115917001201,0.0014406976732513864
252,0.1,2,2,0.0010347024160360443,0.0017602992962051198
253,0.1,2,3,0.0022904116516950113,0.001492635296964831
254,0.1,2,4,0.0014014540371648575,0.0016722492040903627
255,0.1,2,5,0.002450530897604141,0.0016032997981218868
256,0.1,2,6,0.001789204514719292,0.0010231764910874047
257,0.1,2,7,0.0013575679069765007,0.0010156177565489022
258,0.1,2,8,0.002621950141713446,0.001427479363907671
259,0.1,2,9,0.0015508739755713972,0.002228600667804253
260,0.1,3,0,0.003790859533610491,0.00297137012311631
261,0.1,3,1,0.0019748738535387356,0.0016190802772166055
262,0.1,3,2,0.0017311162383084786,0.0018282885099426894
263,0.1,3,3,0.0024030494214900356,0.0025643939671967904
264,0.1,3,4,0.0020533077400914515,0.0022823970863405387
265,0.1,3,5,0.0021092571621815913,0.001264467866565788
266,0.1,3,6,0.002456116756779829,0.0026945709216663503
267,0.1,3,7,0.002548544159533993,0.0015081220356164484
268,0.1,3,8,0.002136775621387052,0.0014922320677934957
269,0.1,3,9,0.0027715811724343753,0.0014210797272511755
270,0.1,4,0,0.0011668395224534922,0.003117387830707894
271,0.1,4,1,0.0013240102712848045,0.0013786077894796204
272,0.1,4,2,0.0018135980681911175,0.002115621907076337
273,0.1,4,3,0.0018401046130050872,0.0018913152958961353
274,0.1,4,4,0.002917070104548136,0.0007985739394462811
275,0.1,4,5,0.0024037478346425594,0.0016904235304911496
